id,nombre,horasTrabajadas,sueldo
1,Delphine,136,32640
2,Marlane,151,36240
3,Sayre,191,68760
4,Valli,171,61560
5,Laurena,212,76320
6,Hamil,128,30720
7,Ettie,164,59040
8,Andreas,132,31680
9,Dita,80,14400
10,Euell,99,17820
11,Karina,185,66600
12,Carey,209,75240
13,Haze,88,15840
14,Averil,99,17820
15,Giuditta,121,29040
16,Hans,240,86400
17,Raffaello,84,15120
18,Franky,133,31920
19,Leicester,167,60120
20,Samantha,226,81360
21,Elora,144,34560
22,Binny,84,15120
23,Trudy,198,71280
24,Shae,104,18720
25,Bordy,96,17280
26,Mechelle,120,21600
27,Lucita,210,75600
28,Michele,88,15840
29,Aubry,157,37680
30,Ginnifer,105,18900
31,Pace,132,31680
32,Coral,81,14580
33,Cozmo,167,60120
34,Archibaldo,123,29520
35,Eddy,136,32640
36,Helen-elizabeth,103,18540
37,Hilario,195,70200
38,Helge,176,63360
39,Gardener,222,79920
40,Gustavus,142,34080
41,Anderea,80,14400
42,Demetria,108,19440
43,Corabella,200,72000
44,Agathe,207,74520
45,Egor,83,14940
46,Murvyn,194,69840
47,Morten,95,17100
48,Marlena,233,83880
49,Franzen,83,14940
50,L;urette,195,70200
51,Law,209,75240
52,Stevie,238,85680
53,Taylor,239,86040
54,Olin,138,33120
55,Blondy,195,70200
56,Judas,120,21600
57,Aggy,116,20880
58,Brendin,176,63360
59,Joceline,142,34080
60,Cymbre,221,79560
61,Barbabra,229,82440
62,Rowan,110,19800
63,Hedda,198,71280
64,Nev,226,81360
65,Sam,233,83880
66,Morganne,194,69840
67,Deidre,95,17100
68,Laureen,143,34320
69,Crissy,195,70200
70,Wilone,102,18360
71,Milzie,92,16560
72,Dorisa,100,18000
73,Judie,152,36480
74,Lucas,182,65520
75,Kellen,206,74160
76,Ferdinande,175,63000
77,Kilian,174,62640
78,Bret,161,57960
79,Luca,164,59040
80,Cathe,146,35040
81,Zebedee,97,17460
82,Ediva,132,31680
83,Spence,144,34560
84,Jo ann,131,31440
85,Benetta,111,19980
86,Papageno,96,17280
87,Belvia,127,30480
88,Lynnett,140,33600
89,Launce,99,17820
90,Dougie,214,77040
91,Jamaal,144,34560
92,Alverta,155,37200
93,Marcelia,187,67320
94,Grace,131,31440
95,Kathi,189,68040
96,Raoul,197,70920
97,Bria,165,59400
98,Currey,202,72720
99,Daphene,142,34080
100,Will,130,31200
101,Nicko,94,16920
102,Bruce,83,14940
103,Brit,210,75600
104,Hyacinthe,106,19080
105,Andras,140,33600
106,Samara,221,79560
107,Germaine,86,15480
108,Demott,196,70560
109,Odo,228,82080
110,Chrotoem,116,20880
111,Hadleigh,110,19800
112,Adoree,193,69480
113,Whittaker,232,83520
114,Leodora,113,20340
115,Louisette,95,17100
116,Merna,99,17820
117,Sydel,187,67320
118,Jennine,229,82440
119,Tabbie,185,66600
120,June,202,72720
121,Pembroke,106,19080
122,Suzette,135,32400
123,Joete,192,69120
124,Adriena,200,72000
125,Lana,178,64080
126,Lyn,105,18900
127,Dulce,144,34560
128,North,220,79200
129,Bette,147,35280
130,Emmi,226,81360
131,Meier,152,36480
132,Joelly,195,70200
133,Marv,106,19080
134,Jasen,210,75600
135,Merilee,206,74160
136,Ollie,122,29280
137,Sherwood,189,68040
138,Gilligan,123,29520
